Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
Metropolitan Area,Hanford-Corcoran MSA,01-01-2016,2016,January,N,Final,57300,50600,6800,0.118
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-2016,2016,January,N,Final,4961600,4675700,286000,0.058
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-2016,2016,January,Y,Final,4974900,4694700,280200,0.056
Metropolitan Area,Madera MSA,01-01-2016,2016,January,N,Final,61700,55200,6500,0.105
Metropolitan Area,Merced MSA,01-01-2016,2016,January,N,Final,113800,98900,14900,0.131
Metropolitan Area,Modesto MSA,01-01-2016,2016,January,N,Final,240300,217000,23300,0.097
Metropolitan Area,Napa MSA,01-01-2016,2016,January,N,Final,71000,67400,3700,0.051
Metropolitan Area,Oakland-Hayward-Berkeley MD,01-01-2016,2016,January,N,Final,1370800,1308200,62700,0.046
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,01-01-2016,2016,January,N,Final,424400,401000,23400,0.055
Metropolitan Area,Redding MSA,01-01-2016,2016,January,N,Final,74200,68100,6100,0.083
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,01-01-2016,2016,January,N,Final,1978000,1859700,118400,0.06
Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,01-01-2016,2016,January,N,Final,1062700,1002600,60100,0.057
Metropolitan Area,Salinas MSA,01-01-2016,2016,January,N,Final,207300,182700,24500,0.118
Metropolitan Area,San Diego-Carlsbad MSA,01-01-2016,2016,January,N,Final,1551000,1474700,76300,0.049
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,01-01-2016,2016,January,N,Final,986600,953800,32800,0.033
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,01-01-2016,2016,January,N,Final,1050500,1008500,42000,0.04
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,01-01-2016,2016,January,N,Final,138300,131800,6500,0.047
Metropolitan Area,San Rafael MD,01-01-2016,2016,January,N,Final,138100,133400,4700,0.034
Metropolitan Area,Santa Cruz-Watsonville MSA,01-01-2016,2016,January,N,Final,142000,128900,13100,0.093
Metropolitan Area,Santa Maria-Santa Barbara MSA,01-01-2016,2016,January,N,Final,213000,200100,12900,0.061
Metropolitan Area,Santa Rosa MSA,01-01-2016,2016,January,N,Final,256300,244800,11500,0.045
Metropolitan Area,Stockton-Lodi MSA,01-01-2016,2016,January,N,Final,314600,285500,29100,0.092
Metropolitan Area,Vallejo-Fairfield MSA,01-01-2016,2016,January,N,Final,205500,193200,12300,0.06
Metropolitan Area,Visalia-Porterville MSA,01-01-2016,2016,January,N,Final,203300,177500,25800,0.127
Metropolitan Area,Yuba City MSA,01-01-2016,2016,January,N,Final,71600,63600,8000,0.112
Sub-County Place,Acton CDP,01-01-2016,2016,January,N,Final,3700,3500,300,0.073
Sub-County Place,Adelanto city,01-01-2016,2016,January,N,Final,9300,8400,1000,0.106
Sub-County Place,Agoura Hills city,01-01-2016,2016,January,N,Final,11300,10700,600,0.049
Sub-County Place,Alameda city,01-01-2016,2016,January,N,Final,41100,39400,1700,0.042
Sub-County Place,Alamo CDP,01-01-2016,2016,January,N,Final,6900,6700,200,0.026
Sub-County Place,Albany city,01-01-2016,2016,January,N,Final,9200,8800,400,0.038
Sub-County Place,Alhambra city,01-01-2016,2016,January,N,Final,45500,43100,2400,0.052
Sub-County Place,Aliso Viejo city,01-01-2016,2016,January,N,Final,29700,28700,1100,0.036
Sub-County Place,Alondra Park CDP,01-01-2016,2016,January,N,Final,3900,3600,300,0.075
Sub-County Place,Alpaugh CDP,01-01-2016,2016,January,N,Final,400,400,100,0.123
Sub-County Place,Alpine Village CDP,01-01-2016,2016,January,N,Final,100,100,0,0
Sub-County Place,Altadena CDP,01-01-2016,2016,January,N,Final,23700,22700,1100,0.045
Sub-County Place,Alta Sierra CDP,01-01-2016,2016,January,N,Final,3480,3430,50,0.015
Sub-County Place,Alturas city,01-01-2016,2016,January,N,Final,960,900,50,0.055
Sub-County Place,Amador City city,01-01-2016,2016,January,N,Final,100,90,10,0.105
Sub-County Place,American Canyon city,01-01-2016,2016,January,N,Final,9700,9100,600,0.066
Sub-County Place,Anaheim city,01-01-2016,2016,January,N,Final,168700,161300,7300,0.043
Sub-County Place,Anderson city,01-01-2016,2016,January,N,Final,4200,3800,400,0.096
Sub-County Place,Angels City city,01-01-2016,2016,January,N,Final,1900,1880,20,0.011
Sub-County Place,Angwin CDP,01-01-2016,2016,January,N,Final,2000,2000,100,0.042
Sub-County Place,Antioch city,01-01-2016,2016,January,N,Final,50100,47100,3000,0.06
Sub-County Place,Apple Valley town,01-01-2016,2016,January,N,Final,28100,26300,1900,0.067
Sub-County Place,Aptos CDP,01-01-2016,2016,January,N,Final,3300,3000,200,0.075
Sub-County Place,Aptos Hills Larkin Valley CDP,01-01-2016,2016,January,N,Final,1300,1100,200,0.13
Sub-County Place,Arbuckle CDP,01-01-2016,2016,January,N,Final,1780,1290,490,0.276
Sub-County Place,Arcadia city,01-01-2016,2016,January,N,Final,28800,27500,1200,0.043
Sub-County Place,Arcata city,01-01-2016,2016,January,N,Final,8900,8000,900,0.104
Sub-County Place,Arden Arcade CDP,01-01-2016,2016,January,N,Final,44800,41300,3500,0.079
Sub-County Place,Armona CDP,01-01-2016,2016,January,N,Final,1500,1200,300,0.185
Sub-County Place,Arnold CDP,01-01-2016,2016,January,N,Final,1140,1070,70,0.059
Sub-County Place,Aromas CDP (Monterey Co),01-01-2016,2016,January,N,Final,1400,1200,200,0.13
Sub-County Place,Arroyo Grande city,01-01-2016,2016,January,N,Final,8700,8400,300,0.04
Sub-County Place,Artesia city,01-01-2016,2016,January,N,Final,7700,7400,300,0.033
Sub-County Place,Arvin city,01-01-2016,2016,January,N,Final,9000,7900,1100,0.125
Sub-County Place,Ashland CDP,01-01-2016,2016,January,N,Final,11000,10100,800,0.076
Sub-County Place,Atascadero city,01-01-2016,2016,January,N,Final,15200,14500,700,0.045
Sub-County Place,Atherton town,01-01-2016,2016,January,N,Final,2900,2800,100,0.035
Sub-County Place,Atwater city,01-01-2016,2016,January,N,Final,11900,10400,1500,0.126
Sub-County Place,Auberry CDP,01-01-2016,2016,January,N,Final,900,800,0,0.053
Sub-County Place,Auburn city,01-01-2016,2016,January,N,Final,6400,6100,300,0.052
Sub-County Place,August CDP,01-01-2016,2016,January,N,Final,3000,2500,500,0.163
Sub-County Place,Avalon city,01-01-2016,2016,January,N,Final,2000,2000,100,0.03
Sub-County Place,Avenal city,01-01-2016,2016,January,N,Final,4000,3400,600,0.141
Sub-County Place,Avery CDP,01-01-2016,2016,January,N,Final,310,280,30,0.095
Sub-County Place,Avocado Heights CDP,01-01-2016,2016,January,N,Final,7800,7300,500,0.062
Sub-County Place,Azusa city,01-01-2016,2016,January,N,Final,24200,23000,1300,0.052
Sub-County Place,Bakersfield city,01-01-2016,2016,January,N,Final,175800,162400,13400,0.076
Sub-County Place,Baldwin Park city,01-01-2016,2016,January,N,Final,34000,31800,2200,0.063
Sub-County Place,Banning city,01-01-2016,2016,January,N,Final,10900,10100,800,0.072
Sub-County Place,Barstow city,01-01-2016,2016,January,N,Final,8500,7800,700,0.082
Sub-County Place,Bay Point CDP,01-01-2016,2016,January,N,Final,11100,10300,900,0.08
Sub-County Place,Beale AFB CDP,01-01-2016,2016,January,N,Final,200,200,0,0.144
Sub-County Place,Bear Valley CDP,01-01-2016,2016,January,N,Final,60,60,0,0
Sub-County Place,Bear Valley Springs CDP,01-01-2016,2016,January,N,Final,2000,1900,100,0.051
Sub-County Place,Beaumont city,01-01-2016,2016,January,N,Final,20600,19600,1000,0.05
Sub-County Place,Beckwourth CDP,01-01-2016,2016,January,N,Final,110,110,0,0
Sub-County Place,Belden CDP,01-01-2016,2016,January,N,Final,0,0,0,0
Sub-County Place,Bell city,01-01-2016,2016,January,N,Final,14800,13900,900,0.061
Sub-County Place,Bellflower city,01-01-2016,2016,January,N,Final,35800,33400,2400,0.066
Sub-County Place,Bell Gardens city,01-01-2016,2016,January,N,Final,17800,16700,1100,0.061
Sub-County Place,Belmont city,01-01-2016,2016,January,N,Final,16100,15600,500,0.033
Sub-County Place,Benicia city,01-01-2016,2016,January,N,Final,14700,14000,600,0.043
Sub-County Place,Ben Lomond CDP,01-01-2016,2016,January,N,Final,3500,3300,200,0.062
Sub-County Place,Berkeley city,01-01-2016,2016,January,N,Final,61600,59100,2500,0.041
Sub-County Place,Bermuda Dunes CDP,01-01-2016,2016,January,N,Final,3900,3700,200,0.052
Sub-County Place,Bertsch Oceanview CDP,01-01-2016,2016,January,N,Final,810,690,120,0.146
Sub-County Place,Bethel Island CDP,01-01-2016,2016,January,N,Final,700,700,0,0.021
Sub-County Place,Beverly Hills city,01-01-2016,2016,January,N,Final,18100,17100,1000,0.053
Sub-County Place,Big Bear City CDP,01-01-2016,2016,January,N,Final,6400,6000,400,0.057
Sub-County Place,Big Bear Lake city,01-01-2016,2016,January,N,Final,2200,2100,100,0.05
Sub-County Place,Biggs city,01-01-2016,2016,January,N,Final,800,700,100,0.127
Sub-County Place,Big Pine CDP,01-01-2016,2016,January,N,Final,770,680,80,0.109
Sub-County Place,Big River CDP,01-01-2016,2016,January,N,Final,400,400,0,0.069
Sub-County Place,Biola CDP,01-01-2016,2016,January,N,Final,500,400,100,0.194
Sub-County Place,Bishop city,01-01-2016,2016,January,N,Final,1880,1820,60,0.03
Sub-County Place,Bloomington CDP,01-01-2016,2016,January,N,Final,10500,9700,700,0.07
Sub-County Place,Blue Lake city,01-01-2016,2016,January,N,Final,600,600,0,0.033
Sub-County Place,Bluewater CDP,01-01-2016,2016,January,N,Final,0,0,0,0
Sub-County Place,Blythe city,01-01-2016,2016,January,N,Final,5900,5500,400,0.071
Sub-County Place,Bodega Bay CDP,01-01-2016,2016,January,N,Final,400,400,0,0.015
Sub-County Place,Bodfish CDP,01-01-2016,2016,January,N,Final,500,400,100,0.2
Sub-County Place,Bonadelle Ranchos Madera Ranchos CDP,01-01-2016,2016,January,N,Final,4000,3700,300,0.072
Sub-County Place,Bonita CDP,01-01-2016,2016,January,N,Final,6000,5600,400,0.064
Sub-County Place,Bootjack CDP,01-01-2016,2016,January,N,Final,270,230,40,0.157
Sub-County Place,Boron CDP,01-01-2016,2016,January,N,Final,800,700,100,0.144
Sub-County Place,Boronda CDP,01-01-2016,2016,January,N,Final,400,400,0,0.066
Sub-County Place,Bostonia CDP,01-01-2016,2016,January,N,Final,7600,6900,700,0.095
Sub-County Place,Boulder Creek CDP,01-01-2016,2016,January,N,Final,2600,2300,300,0.129
Sub-County Place,Boyes Hot Springs CDP,01-01-2016,2016,January,N,Final,4000,3800,200,0.046
Sub-County Place,Bradbury city,01-01-2016,2016,January,N,Final,500,500,0,0.021
Sub-County Place,Bradley CDP,01-01-2016,2016,January,N,Final,100,100,0,0.15
Sub-County Place,Brawley city,01-01-2016,2016,January,N,Final,11500,8700,2800,0.241
Sub-County Place,Brea city,01-01-2016,2016,January,N,Final,22300,21400,900,0.042
Sub-County Place,Brentwood city,01-01-2016,2016,January,N,Final,27800,26300,1500,0.055
Sub-County Place,Bret Harte CDP,01-01-2016,2016,January,N,Final,2000,1700,300,0.156
Sub-County Place,Brisbane city,01-01-2016,2016,January,N,Final,2700,2600,100,0.031
Sub-County Place,Broadmoor CDP,01-01-2016,2016,January,N,Final,3400,3200,200,0.052
Sub-County Place,Bucks Lake CDP,01-01-2016,2016,January,N,Final,10,10,0,0
Sub-County Place,Buellton city,01-01-2016,2016,January,N,Final,2600,2600,100,0.028
Sub-County Place,Buena Park city,01-01-2016,2016,January,N,Final,40100,38300,1800,0.044
Sub-County Place,Burbank city,01-01-2016,2016,January,N,Final,57900,54100,3800,0.065
Sub-County Place,Burlingame city,01-01-2016,2016,January,N,Final,17600,17100,500,0.031
Sub-County Place,Burney CDP,01-01-2016,2016,January,N,Final,1400,1200,100,0.083
Sub-County Place,Buttonwillow CDP,01-01-2016,2016,January,N,Final,600,500,100,0.182
Sub-County Place,Byron CDP,01-01-2016,2016,January,N,Final,600,600,0,0.044
Sub-County Place,Bystrom CDP,01-01-2016,2016,January,N,Final,1400,1200,200,0.16
Sub-County Place,Cabazon CDP,01-01-2016,2016,January,N,Final,1300,1100,200,0.154
Sub-County Place,Calabasas city,01-01-2016,2016,January,N,Final,11800,11400,400,0.033
Sub-County Place,Calexico city,01-01-2016,2016,January,N,Final,17300,12900,4400,0.256
Sub-County Place,California City city,01-01-2016,2016,January,N,Final,5100,3900,1200,0.227
Sub-County Place,Calimesa city,01-01-2016,2016,January,N,Final,3100,2800,200,0.073
Sub-County Place,Calipatria city,01-01-2016,2016,January,N,Final,1300,1000,300,0.225
Sub-County Place,Calistoga city,01-01-2016,2016,January,N,Final,2700,2600,100,0.03
Sub-County Place,Calwa CDP,01-01-2016,2016,January,N,Final,700,600,100,0.154
Sub-County Place,Camarillo city,01-01-2016,2016,January,N,Final,33300,31900,1400,0.042
Sub-County Place,Cambria CDP,01-01-2016,2016,January,N,Final,2600,2500,100,0.054
Sub-County Place,Cameron Park CDP,01-01-2016,2016,January,N,Final,9500,9000,600,0.058
Sub-County Place,Campbell city,01-01-2016,2016,January,N,Final,25200,24300,900,0.036
Sub-County Place,Cantua Creek CDP,01-01-2016,2016,January,N,Final,100,100,0,0.119
Sub-County Place,Canyondam CDP,01-01-2016,2016,January,N,Final,50,10,40,0.766
Sub-County Place,Canyon Lake city,01-01-2016,2016,January,N,Final,5400,5100,200,0.039
Sub-County Place,Capitola city,01-01-2016,2016,January,N,Final,5500,5200,300,0.055
Sub-County Place,Carlsbad city,01-01-2016,2016,January,N,Final,53400,51100,2400,0.045
Sub-County Place,Carmel by the Sea city,01-01-2016,2016,January,N,Final,1500,1500,0,0.027
Sub-County Place,Carmel Valley Village CDP,01-01-2016,2016,January,N,Final,2600,2200,400,0.149
Sub-County Place,Carmichael CDP,01-01-2016,2016,January,N,Final,30100,28300,1800,0.061
Sub-County Place,Carpinteria city,01-01-2016,2016,January,N,Final,7200,6800,400,0.052
Sub-County Place,Carson city,01-01-2016,2016,January,N,Final,45100,42400,2700,0.061
Sub-County Place,Cartago CDP,01-01-2016,2016,January,N,Final,10,10,0,0
Sub-County Place,Caruthers CDP,01-01-2016,2016,January,N,Final,1400,1300,100,0.103
Sub-County Place,Casa Conejo CDP,01-01-2016,2016,January,N,Final,1800,1700,100,0.076
Sub-County Place,Casa de Oro Mount Helix CDP,01-01-2016,2016,January,N,Final,9500,9000,500,0.054
Sub-County Place,Castro Valley CDP,01-01-2016,2016,January,N,Final,31700,30400,1400,0.043
Sub-County Place,Castroville CDP,01-01-2016,2016,January,N,Final,3600,3000,600,0.169
Sub-County Place,Cathedral City city,01-01-2016,2016,January,N,Final,25100,23900,1200,0.048
Sub-County Place,Cayucos CDP,01-01-2016,2016,January,N,Final,1600,1500,100,0.038
Sub-County Place,Ceres city,01-01-2016,2016,January,N,Final,21600,19100,2400,0.113
Sub-County Place,Cerritos city,01-01-2016,2016,January,N,Final,24600,23400,1200,0.048
Sub-County Place,Challenge Brownsville CDP,01-01-2016,2016,January,N,Final,200,200,0,0
Sub-County Place,Channel Islands Beach CDP,01-01-2016,2016,January,N,Final,1700,1500,200,0.116
Sub-County Place,Charter Oak CDP,01-01-2016,2016,January,N,Final,4700,4400,300,0.071
Sub-County Place,Cherryland CDP,01-01-2016,2016,January,N,Final,6900,6500,500,0.066
Sub-County Place,Cherry Valley CDP,01-01-2016,2016,January,N,Final,3000,2900,100,0.048
Sub-County Place,Chester CDP,01-01-2016,2016,January,N,Final,970,860,100,0.108
Sub-County Place,Chico city,01-01-2016,2016,January,N,Final,46700,44200,2500,0.054
Sub-County Place,Chilcoot Vinton CDP,01-01-2016,2016,January,N,Final,0,0,0,0
Sub-County Place,China Lake Acres CDP,01-01-2016,2016,January,N,Final,600,600,100,0.114
Sub-County Place,Chinese Camp CDP,01-01-2016,2016,January,N,Final,40,30,10,0.243
Sub-County Place,Chino city,01-01-2016,2016,January,N,Final,40600,38500,2100,0.051
Sub-County Place,Chino Hills city,01-01-2016,2016,January,N,Final,41800,40100,1800,0.042
Sub-County Place,Chowchilla city,01-01-2016,2016,January,N,Final,4400,3900,500,0.113
Sub-County Place,Chualar CDP,01-01-2016,2016,January,N,Final,600,500,100,0.133
Sub-County Place,Chula Vista city,01-01-2016,2016,January,N,Final,119600,113200,6400,0.053
Sub-County Place,Citrus CDP,01-01-2016,2016,January,N,Final,5400,5000,300,0.058
Sub-County Place,Citrus Heights city,01-01-2016,2016,January,N,Final,42800,40500,2400,0.055
Sub-County Place,Claremont city,01-01-2016,2016,January,N,Final,16500,15600,900,0.054
Sub-County Place,Clayton city,01-01-2016,2016,January,N,Final,5500,5300,200,0.038
Sub-County Place,Clearlake city,01-01-2016,2016,January,N,Final,6150,5430,720,0.117
Sub-County Place,Clearlake Oaks CDP,01-01-2016,2016,January,N,Final,610,520,90,0.147
Sub-County Place,Clio CDP,01-01-2016,2016,January,N,Final,10,10,0,0
Sub-County Place,Cloverdale city,01-01-2016,2016,January,N,Final,4300,4200,100,0.026
Sub-County Place,Clovis city,01-01-2016,2016,January,N,Final,50400,47800,2700,0.053
Sub-County Place,Clyde CDP,01-01-2016,2016,January,N,Final,500,500,0,0.017
Sub-County Place,Coachella city,01-01-2016,2016,January,N,Final,19300,16900,2300,0.122
Sub-County Place,Coalinga city,01-01-2016,2016,January,N,Final,5900,5300,600,0.097
Sub-County Place,Cobb CDP,01-01-2016,2016,January,N,Final,500,490,10,0.02
Sub-County Place,Colfax city,01-01-2016,2016,January,N,Final,1100,1000,100,0.109
Sub-County Place,Colton city,01-01-2016,2016,January,N,Final,24100,22600,1500,0.061
Sub-County Place,Columbia CDP,01-01-2016,2016,January,N,Final,930,810,120,0.126
Sub-County Place,Colusa city,01-01-2016,2016,January,N,Final,2830,2250,580,0.205
Sub-County Place,Commerce city,01-01-2016,2016,January,N,Final,5600,5200,400,0.075
Sub-County Place,Compton city,01-01-2016,2016,January,N,Final,38300,35500,2800,0.074
Sub-County Place,Concord city,01-01-2016,2016,January,N,Final,64600,61800,2800,0.044
Sub-County Place,Concow CDP,01-01-2016,2016,January,N,Final,200,200,0,0.131
Sub-County Place,Copperopolis CDP,01-01-2016,2016,January,N,Final,2120,1990,120,0.057
Sub-County Place,Corcoran city,01-01-2016,2016,January,N,Final,4800,3800,1000,0.211
Sub-County Place,Corning city,01-01-2016,2016,January,N,Final,2890,2460,430,0.149
Sub-County Place,Corona city,01-01-2016,2016,January,N,Final,81500,77500,4000,0.049
Sub-County Place,Coronado city,01-01-2016,2016,January,N,Final,9100,8700,400,0.042
Sub-County Place,Corralitos CDP,01-01-2016,2016,January,N,Final,1200,1200,0,0.015
Sub-County Place,Corte Madera town,01-01-2016,2016,January,N,Final,5000,4800,100,0.03
Sub-County Place,Costa Mesa city,01-01-2016,2016,January,N,Final,64500,62100,2400,0.037
Sub-County Place,Cotati city,01-01-2016,2016,January,N,Final,4100,3900,200,0.05
Sub-County Place,Coto de Caza CDP,01-01-2016,2016,January,N,Final,7300,7000,300,0.037
Sub-County Place,Cottonwood CDP,01-01-2016,2016,January,N,Final,1500,1300,200,0.146
Sub-County Place,Country Club CDP,01-01-2016,2016,January,N,Final,4400,3800,600,0.137
Sub-County Place,Covelo CDP,01-01-2016,2016,January,N,Final,400,360,40,0.101
Sub-County Place,Covina city,01-01-2016,2016,January,N,Final,23700,22200,1500,0.064
Sub-County Place,Crescent City city,01-01-2016,2016,January,N,Final,1460,1370,90,0.061
Sub-County Place,Crescent Mills CDP,01-01-2016,2016,January,N,Final,90,90,0,0
Sub-County Place,Crestline CDP,01-01-2016,2016,January,N,Final,3900,3700,100,0.033
Sub-County Place,C Road CDP,01-01-2016,2016,January,N,Final,80,60,20,0.282
Sub-County Place,Crockett CDP,01-01-2016,2016,January,N,Final,1700,1600,100,0.042
Sub-County Place,Cromberg CDP,01-01-2016,2016,January,N,Final,70,50,20,0.254
Sub-County Place,Cudahy city,01-01-2016,2016,January,N,Final,9900,9300,600,0.062
Sub-County Place,Culver City city,01-01-2016,2016,January,N,Final,22400,21200,1300,0.056
Sub-County Place,Cupertino city,01-01-2016,2016,January,N,Final,29300,28200,1000,0.035
Sub-County Place,Cutler CDP,01-01-2016,2016,January,N,Final,2100,1800,300,0.155
Sub-County Place,Cypress city,01-01-2016,2016,January,N,Final,24700,23700,1000,0.04
Sub-County Place,Daly City city,01-01-2016,2016,January,N,Final,62500,60500,2100,0.033
Sub-County Place,Dana Point city,01-01-2016,2016,January,N,Final,18700,17900,700,0.039
Sub-County Place,Danville town,01-01-2016,2016,January,N,Final,20400,19600,800,0.038
Sub-County Place,Darwin CDP,01-01-2016,2016,January,N,Final,0,0,0,0
Sub-County Place,Davis city,01-01-2016,2016,January,N,Final,34300,33000,1300,0.038
Sub-County Place,Day Valley CDP,01-01-2016,2016,January,N,Final,1700,1500,200,0.107
Sub-County Place,Deer Park CDP,01-01-2016,2016,January,N,Final,300,300,0,0.042
Sub-County Place,Del Aire CDP,01-01-2016,2016,January,N,Final,5500,5200,300,0.047
Sub-County Place,Delano city,01-01-2016,2016,January,N,Final,23500,16600,6900,0.294
Sub-County Place,Delhi CDP,01-01-2016,2016,January,N,Final,4900,4300,600,0.121
Sub-County Place,Delleker CDP,01-01-2016,2016,January,N,Final,230,230,0,0
Sub-County Place,Del Mar city,01-01-2016,2016,January,N,Final,2400,2300,100,0.033
Sub-County Place,Del Monte Forest CDP,01-01-2016,2016,January,N,Final,1800,1500,300,0.17
Sub-County Place,Del Rey CDP,01-01-2016,2016,January,N,Final,500,500,0,0.079
Sub-County Place,Del Rey Oaks city,01-01-2016,2016,January,N,Final,1000,800,100,0.138
Sub-County Place,Denair CDP,01-01-2016,2016,January,N,Final,2400,2200,200,0.078
Sub-County Place,Derby Acres CDP,01-01-2016,2016,January,N,Final,100,100,0,0.063
Sub-County Place,Desert Hot Springs city,01-01-2016,2016,January,N,Final,11200,10400,800,0.071
Sub-County Place,Desert View Highlands CDP,01-01-2016,2016,January,N,Final,1000,900,100,0.072
Sub-County Place,Diablo CDP,01-01-2016,2016,January,N,Final,200,200,0,0
Sub-County Place,Diamond Bar city,01-01-2016,2016,January,N,Final,29700,28300,1400,0.047
Sub-County Place,Diamond Springs CDP,01-01-2016,2016,January,N,Final,5300,5000,300,0.065
Sub-County Place,Dinuba city,01-01-2016,2016,January,N,Final,11100,9100,2000,0.18
Sub-County Place,Discovery Bay CDP,01-01-2016,2016,January,N,Final,7400,7100,300,0.044
Sub-County Place,Dixon city,01-01-2016,2016,January,N,Final,9200,8700,500,0.051
Sub-County Place,Dixon Lane Meadow Creek CDP,01-01-2016,2016,January,N,Final,1090,1040,50,0.047
Sub-County Place,Dollar Point CDP,01-01-2016,2016,January,N,Final,600,600,0,0.018
Sub-County Place,Dorrington CDP,01-01-2016,2016,January,N,Final,70,70,0,0
Sub-County Place,Dos Palos city,01-01-2016,2016,January,N,Final,1800,1500,300,0.176
Sub-County Place,Downey city,01-01-2016,2016,January,N,Final,56200,53000,3100,0.056
Sub-County Place,Duarte city,01-01-2016,2016,January,N,Final,10600,9800,700,0.067
Sub-County Place,Dublin city,01-01-2016,2016,January,N,Final,30000,28900,1100,0.036
Sub-County Place,Ducor CDP,01-01-2016,2016,January,N,Final,300,300,0,0.113
Sub-County Place,Dunsmuir city,01-01-2016,2016,January,N,Final,650,550,100,0.147
Sub-County Place,Durham CDP,01-01-2016,2016,January,N,Final,2800,2600,100,0.045
Sub-County Place,Dustin Acres CDP,01-01-2016,2016,January,N,Final,200,200,0,0.12
Sub-County Place,Earlimart CDP,01-01-2016,2016,January,N,Final,3600,2800,800,0.23
Sub-County Place,East Foothills CDP,01-01-2016,2016,January,N,Final,3700,3600,100,0.028
Sub-County Place,East Hemet CDP,01-01-2016,2016,January,N,Final,7600,7000,600,0.082
Sub-County Place,East Los Angeles CDP,01-01-2016,2016,January,N,Final,56200,51100,5100,0.091
Sub-County Place,East Oakdale CDP,01-01-2016,2016,January,N,Final,1600,1500,100,0.077
Sub-County Place,Easton CDP,01-01-2016,2016,January,N,Final,1200,1000,200,0.128
Sub-County Place,East Orosi CDP,01-01-2016,2016,January,N,Final,300,300,0,0.04
Sub-County Place,East Palo Alto city,01-01-2016,2016,January,N,Final,14600,14000,600,0.04
Sub-County Place,East Pasadena CDP,01-01-2016,2016,January,N,Final,3200,3100,100,0.038
Sub-County Place,East Porterville CDP,01-01-2016,2016,January,N,Final,2500,2000,500,0.211
Sub-County Place,East Quincy CDP,01-01-2016,2016,January,N,Final,1270,1200,80,0.059
Sub-County Place,East Richmond Heights CDP,01-01-2016,2016,January,N,Final,1800,1800,0,0.026
Sub-County Place,East San Gabriel CDP,01-01-2016,2016,January,N,Final,7700,7500,100,0.017
Sub-County Place,East Shore CDP,01-01-2016,2016,January,N,Final,130,70,60,0.454
Sub-County Place,East Sonora CDP,01-01-2016,2016,January,N,Final,1090,1080,20,0.016
Sub-County Place,Eastvale City city,01-01-2016,2016,January,N,Final,30000,28700,1300,0.044
Sub-County Place,Edwards AFB CDP,01-01-2016,2016,January,N,Final,500,500,100,0.101
Sub-County Place,El Cajon city,01-01-2016,2016,January,N,Final,44500,42200,2300,0.052
Sub-County Place,El Centro city,01-01-2016,2016,January,N,Final,20300,16100,4200,0.205
Sub-County Place,El Cerrito city,01-01-2016,2016,January,N,Final,13600,13100,500,0.038
Sub-County Place,El Cerrito CDP,01-01-2016,2016,January,N,Final,2600,2500,100,0.038
Sub-County Place,El Dorado Hills CDP,01-01-2016,2016,January,N,Final,21300,20400,900,0.043
Sub-County Place,El Granada CDP,01-01-2016,2016,January,N,Final,3600,3400,100,0.039
Sub-County Place,Elk Grove CDP,01-01-2016,2016,January,N,Final,80000,76300,3800,0.047
Sub-County Place,Elkhorn CDP,01-01-2016,2016,January,N,Final,700,700,0,0
Sub-County Place,Elmira CDP,01-01-2016,2016,January,N,Final,100,100,0,0
Sub-County Place,El Monte city,01-01-2016,2016,January,N,Final,50200,47400,2800,0.056
Sub-County Place,El Paso de Robles (Paso Robles) city,01-01-2016,2016,January,N,Final,16000,15200,800,0.048
Sub-County Place,El Rio CDP,01-01-2016,2016,January,N,Final,3500,3300,200,0.064
Sub-County Place,El Segundo city,01-01-2016,2016,January,N,Final,9400,9000,400,0.046
Sub-County Place,El Sobrante CDP,01-01-2016,2016,January,N,Final,7100,6700,400,0.054
Sub-County Place,El Verano CDP,01-01-2016,2016,January,N,Final,2100,2100,100,0.041
Sub-County Place,Emeryville city,01-01-2016,2016,January,N,Final,6800,6500,300,0.039
Sub-County Place,Empire CDP,01-01-2016,2016,January,N,Final,1700,1500,200,0.131
Sub-County Place,Encinitas city,01-01-2016,2016,January,N,Final,32700,31500,1200,0.038
Sub-County Place,Escalon city,01-01-2016,2016,January,N,Final,3500,3400,100,0.019
Sub-County Place,Escondido city,01-01-2016,2016,January,N,Final,68100,64800,3300,0.048
Sub-County Place,Esparto CDP,01-01-2016,2016,January,N,Final,1700,1600,100,0.081
Sub-County Place,Eureka city,01-01-2016,2016,January,N,Final,12600,11900,700,0.053
Sub-County Place,Exeter city,01-01-2016,2016,January,N,Final,5000,4400,500,0.109
Sub-County Place,Fairfax town,01-01-2016,2016,January,N,Final,4600,4500,100,0.022
Sub-County Place,Fairfield city,01-01-2016,2016,January,N,Final,52300,49400,2900,0.055
Sub-County Place,Fair Oaks CDP,01-01-2016,2016,January,N,Final,15500,14600,900,0.058
Sub-County Place,Fairview CDP,01-01-2016,2016,January,N,Final,5600,5400,200,0.039
